result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
33e62d965886,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",372,69,52,34,3,4.231884057971015,123.33333333333333,23.0,20.666666666666668,0.21347522023739873,0.028437032324053868,"[0.013444958152351805, 0.014992074171702063]","[0.7536231884057971, 1.0, 1.0, 1.0, 1.0]","[0.13043478260869565, 0.39705882352941174, 0.746268656716418, 0.9393939393939394, 1.0]",1.6666666666666667,2,3.149910394265233,8,0.08639836829641591,0.001790128652699785,0.125
9e0b837263d1,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",388,73,47,35,3,4.164383561643835,128.66666666666666,24.333333333333332,19.0,0.21013066979015574,0.0088212268895482,"[0.006895871822563432, 0.0019253550669847685]","[0.6438356164383562, 0.9305555555555556, 1.0, 1.0, 1.0]","[0.1095890410958904, 0.3055555555555556, 0.5492957746478874, 0.7714285714285715, 0.927536231884058]",1.0,1,3.4522419315102244,9,0.08813008536463199,0.008479229547185774,0.14285714285714285
f32a17b12877,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",338,60,46,28,3,4.483333333333333,112.0,20.0,18.0,0.21522415188885238,0.0009863984533202697,"[0.000732687257585074, 0.0002537111957351956]","[0.7666666666666667, 1.0, 1.0, 1.0, 1.0]","[0.16666666666666666, 0.5423728813559322, 0.8448275862068966, 0.9473684210526315, 0.9821428571428571]",3.3333333333333335,7,2.825176706532639,7,0.08418033952298372,0.0017077346502075152,0.3333333333333333
a46db658751a,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",499,91,61,41,4,4.329670329670329,124.0,22.75,18.75,0.21323268704298065,0.00959088482778947,"[0.0024533627912251554, 0.003688255054319023, 0.008244709396140026]","[0.6703296703296703, 0.9666666666666667, 1.0, 1.0, 1.0]","[0.10989010989010989, 0.3111111111111111, 0.550561797752809, 0.7727272727272727, 0.9080459770114943]",1.25,3,2.966812109459168,8,0.07945551561272662,0.002275195041535949,0.125
527f68d73de6,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",360,66,49,32,4,4.303030303030303,89.25,16.5,14.25,0.20979475302080955,0.013636024792989088,"[0.003662959734598792, 0.0032250228600624042, 0.013566054594822435]","[0.7424242424242424, 0.9846153846153847, 1.0, 1.0, 1.0]","[0.15151515151515152, 0.4461538461538462, 0.71875, 0.8888888888888888, 0.967741935483871]",1.75,4,2.7772506852203245,7,0.1192758497984513,0.009151063085878153,0.3333333333333333
1cd57e8ba660,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",339,66,46,32,4,3.9696969696969697,84.0,16.5,13.75,0.21067414516883512,0.03750027830784136,"[0.005002090564140915, 0.01848683754603067, 0.032761489351590456]","[0.696969696969697, 0.9692307692307692, 1.0, 1.0, 1.0]","[0.15151515151515152, 0.4153846153846154, 0.65625, 0.8253968253968254, 0.9032258064516129]",1.5,3,2.961947682298726,8,0.07728499433268672,0.0073922787898270115,0.25
424bf4a702b7,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",642,118,78,54,5,4.305084745762712,128.4,23.6,20.8,0.21123540743008767,0.00841635044241125,"[0.00030933168781546727, 0.0007055463212909119, 0.00565615051236501, 0.01016167236335111]","[0.6610169491525424, 0.9487179487179487, 1.0, 1.0, 1.0]","[0.1016949152542373, 0.36752136752136755, 0.6293103448275862, 0.808695652173913, 0.9298245614035088]",2.2,3,2.9144349680170576,8,0.07758016171662704,0.006269754267321903,0.125
deb07d3826d2,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",348,65,43,29,3,4.2153846153846155,115.33333333333333,21.666666666666668,17.666666666666668,0.21347881112192651,0.003950279316609462,"[0.0024533627912251554, 0.0014969165253843064]","[0.6615384615384615, 0.921875, 0.9841269841269841, 1.0, 1.0]","[0.15384615384615385, 0.375, 0.5873015873015873, 0.7419354838709677, 0.8360655737704918]",2.3333333333333335,3,3.307936507936508,11,0.08143560523572176,0.0017829468836442208,0.125
86cf30cee305,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",369,70,53,34,4,4.1,91.5,17.5,14.75,0.21212260757113097,0.03565667094235837,"[0.005002090564140915, 0.01848683754603067, 0.02999607830336598]","[0.7571428571428571, 0.9855072463768116, 1.0, 1.0, 1.0]","[0.14285714285714285, 0.43478260869565216, 0.6911764705882353, 0.8656716417910447, 0.9696969696969697]",1.5,3,3.0537163141118517,8,0.07825652931047522,0.0044953539852353175,0.25
9025ba9b6908,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",382,80,58,36,3,3.7125,127.33333333333333,26.666666666666668,22.666666666666668,0.20853363568820651,0.04037163721554446,"[0.017199211559452865, 0.023172425656091594]","[0.725, 0.9746835443037974, 1.0, 1.0, 1.0]","[0.1375, 0.5063291139240507, 0.782051282051282, 0.922077922077922, 0.9868421052631579]",2.6666666666666665,6,3.164415619471799,9,0.1140873302584109,0.011673297751084222,0.5
4f1b9b6ac191,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",372,68,51,36,3,4.3088235294117645,123.33333333333333,22.666666666666668,19.0,0.2112262751374926,0.007961810099993583,"[0.0013604984439984646, 0.006601311655995118]","[0.75, 0.9850746268656716, 1.0, 1.0, 1.0]","[0.14705882352941177, 0.34328358208955223, 0.6060606060606061, 0.8461538461538461, 0.96875]",1.6666666666666667,3,3.220935220935221,8,0.07198574491169142,0.006288018852512067,0.125
9a1b41f75b30,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",411,79,57,36,5,4.0886075949367084,82.2,15.8,14.2,0.21198589499034579,0.018214938706821865,"[0.0034398537693601516, 0.011120918874788777, 0.012271727787123793, 0.009597376982371009]","[0.7215189873417721, 0.9743589743589743, 1.0, 1.0, 1.0]","[0.1518987341772152, 0.5256410256410257, 0.8441558441558441, 0.9605263157894737, 0.9866666666666667]",1.8,3,2.67549601176376,9,0.12015533188114995,0.0047687791468056795,0.5
cba102f73156,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",558,108,69,47,5,4.083333333333333,111.6,21.6,18.4,0.20650240208240264,0.011238422198887876,"[0.007653439269238949, 0.005571389378923375, 6.370643774666895e-05, 0.00918830931186676]","[0.6388888888888888, 0.9439252336448598, 0.9905660377358491, 1.0, 1.0]","[0.12037037037037036, 0.40186915887850466, 0.6886792452830188, 0.8761904761904762, 0.9519230769230769]",2.6,5,3.156380312483336,9,0.08968339018199754,0.015735764962691967,0.14285714285714285
02e4f932a2b7,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",298,51,41,27,3,4.7254901960784315,99.33333333333333,17.0,16.333333333333332,0.21490705064219287,0.008958040850847115,"[0.003651119241810802, 0.005306921609036314]","[0.803921568627451, 1.0, 1.0, 1.0, 1.0]","[0.19607843137254902, 0.58, 0.7755102040816326, 0.8541666666666666, 0.9148936170212766]",1.3333333333333333,2,3.051570197044335,8,0.12705906836882883,0.00032104131474758324,0.5
3b8ed05849ba,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",322,56,45,29,3,4.607142857142857,106.66666666666667,18.666666666666668,18.0,0.2130719489358329,0.008131879327273134,"[0.004172873165872365, 0.003959006161400769]","[0.8035714285714286, 0.9818181818181818, 1.0, 1.0, 1.0]","[0.17857142857142858, 0.5818181818181818, 0.8888888888888888, 1.0, 1.0]",2.6666666666666665,3,2.9150132275132274,7,0.10153890692669412,0.003349162097972369,0.1
1b648f67305f,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",615,110,76,53,5,4.472727272727273,123.0,22.0,20.0,0.2093910373347245,0.010284158138055652,"[0.0015985226529276197, 0.0022257295382884235, 0.0014524751540386238, 0.015291588930856637]","[0.6909090909090909, 0.9724770642201835, 1.0, 1.0, 1.0]","[0.11818181818181818, 0.4036697247706422, 0.7129629629629629, 0.8785046728971962, 0.9528301886792453]",3.4,5,3.2549688947628392,10,0.0914918391600899,0.010710985300189158,0.25
3f789f7d9078,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",283,47,38,24,2,4.872340425531915,141.0,23.5,20.0,0.22013556590114813,0.01913383004270791,[0.009566915021353956],"[0.8085106382978723, 1.0, 1.0, 1.0, 1.0]","[0.1702127659574468, 0.4782608695652174, 0.7333333333333333, 0.8863636363636364, 0.9534883720930233]",0.5,1,3.075,8,0.1129122661507648,0.01077807183265811,0.5
697b75a18e80,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",386,69,49,31,4,4.463768115942029,95.75,17.25,15.5,0.217346594795104,0.016718044104399494,"[0.00782637198766073, 0.015366062431624444, 0.0018846317373140686]","[0.7101449275362319, 0.9705882352941176, 1.0, 1.0, 1.0]","[0.14492753623188406, 0.35294117647058826, 0.6119402985074627, 0.7878787878787878, 0.9230769230769231]",1.25,2,3.6268132716049384,12,0.12355149051417476,0.0052001296205698155,0.5
6e097dfe0347,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",329,61,45,27,3,4.295081967213115,109.33333333333333,20.333333333333332,18.0,0.20523115050079477,0.036154937421604666,"[0.019617178855520306, 0.01653775856608436]","[0.7377049180327869, 0.9666666666666667, 1.0, 1.0, 1.0]","[0.18032786885245902, 0.5, 0.7796610169491526, 0.9310344827586207, 0.9649122807017544]",2.0,4,2.656204906204906,7,0.11392930020456729,0.019030758968048622,0.2
bd666bcd42bb,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",509,89,65,48,5,4.52808988764045,101.8,17.8,16.6,0.21098703151264936,0.014941245429271569,"[0.002957677433633399, 0.0008665747575826444, 0.00998638470967611, 0.016071853957650983]","[0.7303370786516854, 0.9886363636363636, 1.0, 1.0, 1.0]","[0.12359550561797752, 0.42045454545454547, 0.6436781609195402, 0.7790697674418605, 0.8588235294117647]",2.0,3,2.8811413874428715,7,0.09060082487438036,0.00751899694433944,0.25
20c9e06234b2,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",505,96,68,45,4,4.125,126.0,24.0,20.25,0.21135797030998,0.008842128294485588,"[0.003428403914920858, 0.0028651379403613897, 0.0069696505864461356]","[0.7083333333333334, 0.9894736842105263, 1.0, 1.0, 1.0]","[0.11458333333333333, 0.37894736842105264, 0.6170212765957447, 0.7311827956989247, 0.8152173913043478]",3.0,5,3.1180124223602483,8,0.09430005239403766,0.006777119349678173,0.1
8af03857fd87,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",387,67,54,38,6,4.611940298507463,64.33333333333333,11.166666666666666,10.833333333333334,0.2104063337591939,0.09126039047380945,"[0.0013708931622487819, 0.00755281075016484, 0.009831899404525751, 0.026861274242401117, 0.1825340986251831]","[0.8059701492537313, 0.9848484848484849, 1.0, 1.0, 1.0]","[0.13432835820895522, 0.45454545454545453, 0.7538461538461538, 0.875, 0.9365079365079365]",1.1666666666666667,2,2.301058201058201,7,0.0881904907848524,0.008680392451250352,0.1
b6b7aad1c22b,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",310,59,44,22,3,4.135593220338983,102.66666666666667,19.666666666666668,17.666666666666668,0.21584631122035897,0.019526656468709325,"[0.0075733653136662304, 0.011953291155043094]","[0.7457627118644068, 0.9827586206896551, 1.0, 1.0, 1.0]","[0.1864406779661017, 0.5689655172413793, 0.8070175438596491, 0.9285714285714286, 0.9636363636363636]",1.3333333333333333,4,3.25,9,0.10389992205992989,0.0021995624710797745,0.2
5bf459a9dda2,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",325,58,44,28,3,4.431034482758621,107.66666666666667,19.333333333333332,17.333333333333332,0.21173035515048516,0.011183134052488553,"[0.0022903790076573838, 0.008892755044831169]","[0.7586206896551724, 0.9649122807017544, 1.0, 1.0, 1.0]","[0.15517241379310345, 0.49122807017543857, 0.7678571428571429, 0.8909090909090909, 0.9629629629629629]",1.6666666666666667,3,3.131205673758865,9,0.11024931721065355,0.006032349668667836,0.2
2fd1c42ec50d,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",473,84,62,44,4,4.511904761904762,118.0,21.0,19.25,0.210854847952881,0.009037611160514028,"[0.003408697036781705, 0.007232949227997748, 0.0029147704759915904]","[0.7380952380952381, 0.9759036144578314, 1.0, 1.0, 1.0]","[0.13095238095238096, 0.43373493975903615, 0.7073170731707317, 0.8518518518518519, 0.9375]",2.5,3,3.311884424108677,10,0.08766507843266362,0.0077833640638761414,0.25
838a8edbb261,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",568,103,67,50,5,4.427184466019417,113.6,20.6,17.8,0.20928912435259137,0.011111867238604842,"[0.0022675246910006663, 0.0020271760640127034, 0.007274891081310464, 0.01065414264088585]","[0.6504854368932039, 0.9509803921568627, 1.0, 1.0, 1.0]","[0.1262135922330097, 0.4215686274509804, 0.7029702970297029, 0.88, 0.9494949494949495]",2.2,7,3.5705973532207356,11,0.09770530721415645,0.010914811264455426,0.1
0e3b04076ef1,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",480,86,63,39,4,4.453488372093023,119.25,21.5,19.5,0.21443252862706358,0.028928068350461206,"[0.009314262866973871, 0.019377641846435256, 0.014700197812282684]","[0.7325581395348837, 0.9882352941176471, 1.0, 1.0, 1.0]","[0.13953488372093023, 0.4470588235294118, 0.7738095238095238, 0.9397590361445783, 1.0]",2.75,4,3.0594759867406722,8,0.14219189726788065,0.0006280027155110002,0.2
8306d03f6036,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",417,67,54,38,3,5.104477611940299,138.66666666666666,22.333333333333332,20.666666666666668,0.21495095747463394,0.005155965099986781,"[0.0008924904469314043, 0.004263474653055377]","[0.8059701492537313, 1.0, 1.0, 1.0, 1.0]","[0.1791044776119403, 0.45454545454545453, 0.7384615384615385, 0.84375, 0.9047619047619048]",2.6666666666666665,4,2.894000322997416,7,0.12853394124818884,0.0004088549796297247,0.2
e6ff6bb3a664,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",320,56,45,31,3,4.571428571428571,106.66666666666667,18.666666666666668,17.333333333333332,0.2112327178319295,0.0031198777333654726,"[0.0008657389216952804, 0.002254138811670192]","[0.8035714285714286, 1.0, 1.0, 1.0, 1.0]","[0.16071428571428573, 0.45454545454545453, 0.7407407407407407, 0.9245283018867925, 1.0]",1.0,1,3.1666666666666665,8,0.12747322476428488,0.007027624305779134,1.0
627df2c4987f,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",513,83,66,48,4,4.975903614457831,127.75,20.75,19.0,0.21327127521553785,0.012996425457789746,"[0.011924326514440892, 0.004543403578011002, 0.0030269080942327276]","[0.7951807228915663, 1.0, 1.0, 1.0, 1.0]","[0.1566265060240964, 0.4878048780487805, 0.8271604938271605, 0.975, 1.0]",2.5,4,3.5746463142218916,10,0.09607581988624904,0.0029505095385624625,0.1
7eabfa3929a4,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",469,84,65,43,5,4.428571428571429,93.8,16.8,15.6,0.21130456507271972,0.02183657109651385,"[0.0005661379809331346, 0.005866302407426971, 0.015859149358211422, 0.021381552446456176]","[0.7738095238095238, 0.9879518072289156, 1.0, 1.0, 1.0]","[0.13095238095238096, 0.3855421686746988, 0.7195121951219512, 0.9135802469135802, 0.975]",1.4,3,2.8928655296007912,9,0.09298021378724472,0.00688392982419872,0.1
434a4c50a167,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",513,89,63,45,5,4.573033707865169,102.6,17.8,16.4,0.21154656608899436,0.014512491544431766,"[0.0015985226529276197, 0.0022257295382884235, 0.010025151209397759, 0.01517557968824973]","[0.7078651685393258, 0.9886363636363636, 1.0, 1.0, 1.0]","[0.12359550561797752, 0.42045454545454547, 0.6781609195402298, 0.8372093023255814, 0.9058823529411765]",1.8,3,2.8610854793277,7,0.09006001120028288,0.00639992779164944,0.25
3e7012bc59b1,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",544,98,68,48,4,4.459183673469388,136.0,24.5,21.25,0.20460342932888803,0.005050908495681461,"[0.0028514502507386574, 0.00046249304141676717, 0.004262419451366767]","[0.6938775510204082, 0.9690721649484536, 1.0, 1.0, 1.0]","[0.11224489795918367, 0.35051546391752575, 0.5729166666666666, 0.7368421052631579, 0.8829787234042553]",1.75,3,3.7412101868544996,9,0.11465335928875467,0.020286201311862095,0.1
201f794332e3,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",454,82,58,36,4,4.439024390243903,113.5,20.5,18.0,0.21503060611467514,0.013440208076994049,"[0.00648954851286751, 0.006103947616758781, 0.007566815985864783]","[0.7073170731707317, 0.9876543209876543, 1.0, 1.0, 1.0]","[0.15853658536585366, 0.4444444444444444, 0.725, 0.9240506329113924, 0.9743589743589743]",2.5,5,3.5186688311688314,11,0.11312511174575142,0.0005681522597121291,0.5
20eeda5ac5df,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",447,82,55,38,4,4.304878048780488,111.5,20.5,18.25,0.21340225422874115,0.015344393293464209,"[0.0026721171658448395, 0.007476424960174949, 0.012868047814176525]","[0.6707317073170732, 0.9876543209876543, 1.0, 1.0, 1.0]","[0.12195121951219512, 0.37037037037037035, 0.675, 0.8860759493670886, 0.9871794871794872]",2.75,3,3.229889226083283,7,0.08638369777928227,0.0026885515121558567,0.1
6fca5c44df1e,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",384,68,51,34,4,4.514705882352941,95.25,17.0,15.25,0.21259542486884378,0.005022340264671299,"[0.0009242174300280459, 0.0018187974180494115, 0.004790495548929491]","[0.75, 0.9850746268656716, 1.0, 1.0, 1.0]","[0.16176470588235295, 0.5223880597014925, 0.7727272727272727, 0.9384615384615385, 1.0]",1.75,3,3.296851404409544,10,0.09867733716964722,0.004302210231950598,0.1
9713ce17a7f1,"['gemini-1.5-flash', 'gloom-payment-exist']","['model', 'id']",375,66,53,33,3,4.484848484848484,124.33333333333333,22.0,20.0,0.21258517930453474,0.002979372968577365,"[0.0022307162875538356, 0.0007486566810235296]","[0.803030303030303, 0.9846153846153847, 1.0, 1.0, 1.0]","[0.16666666666666666, 0.5384615384615384, 0.796875, 0.8888888888888888, 0.9516129032258065]",4.333333333333333,5,3.3820706251351935,9,0.09860348701477051,0.00432270136056867,0.1
9b907e979f42,"['gemini-1.5-flash', 'petrol-diesel-pump']","['model', 'id']",485,89,60,39,5,4.359550561797753,97.0,17.8,16.0,0.2138224188615436,0.01851606037881641,"[0.014622076352437341, 0.005163477526770682, 0.006051037046644447, 0.011195529831780349]","[0.6741573033707865, 0.9772727272727273, 1.0, 1.0, 1.0]","[0.1348314606741573, 0.5227272727272727, 0.8390804597701149, 0.9651162790697675, 1.0]",2.2,4,2.922637085137085,9,0.09699938197930653,0.00024103448048345966,0.5
3e5b74026010,"['gemini-1.5-flash', 'petrol-diesel-pump']","['model', 'id']",585,107,75,54,5,4.392523364485982,117.0,21.4,18.8,0.208752475278016,0.006177830638049497,"[0.0006744897726810584, 0.0006748689545525433, 0.010384621179809123, 0.0006216813690562706]","[0.7009345794392523, 0.9716981132075472, 1.0, 1.0, 1.0]","[0.12149532710280374, 0.36792452830188677, 0.6761904761904762, 0.8653846153846154, 0.9611650485436893]",2.0,4,3.469098934000981,8,0.060612777868906655,0.009898852686571757,0.1111111111111111
6a75a984045e,"['gemini-1.5-flash', 'petrol-diesel-pump']","['model', 'id']",373,63,49,34,3,4.7936507936507935,123.66666666666667,21.0,19.0,0.21614444787064552,0.025534311122510034,"[0.0058163876061911035, 0.01971792351631893]","[0.7777777777777778, 1.0, 1.0, 1.0, 1.0]","[0.15873015873015872, 0.45161290322580644, 0.7868852459016393, 0.9333333333333333, 1.0]",4.0,6,3.2811286335539553,11,0.09009175250927608,0.0048850924986872934,0.1111111111111111
c66a12284a71,"['gemini-1.5-flash', 'petrol-diesel-pump']","['model', 'id']",474,84,59,44,4,4.488095238095238,118.5,21.0,18.0,0.20546096569639935,0.010095958022169374,"[0.002524800734086452, 0.007988873395052831, 0.004630262904114779]","[0.7023809523809523, 0.9879518072289156, 1.0, 1.0, 1.0]","[0.11904761904761904, 0.3855421686746988, 0.7195121951219512, 0.8888888888888888, 0.9625]",2.0,5,3.350887000596303,9,0.0971899429957072,0.01648187184980504,0.3333333333333333
5f77d46c2e4d,"['gemini-1.5-flash', 'petrol-diesel-pump']","['model', 'id']",456,83,62,48,4,4.445783132530121,113.75,20.75,18.25,0.21001388354504363,0.012033569227909472,"[0.004613175278618237, 0.0001682950820757756, 0.013268883481170196]","[0.7469879518072289, 0.975609756097561, 1.0, 1.0, 1.0]","[0.10843373493975904, 0.32926829268292684, 0.6049382716049383, 0.8625, 0.9620253164556962]",1.5,3,3.1556673934722714,7,0.08759533862272899,0.007376036152516474,0.1111111111111111
94e6b6083a31,"['gemini-1.5-flash', 'petrol-diesel-pump']","['model', 'id']",549,96,69,50,4,4.604166666666667,137.25,24.0,21.0,0.20887198798510492,0.010833094204447353,"[0.005152774239197744, 0.000754774610201514, 0.010342092457271773]","[0.71875, 0.9789473684210527, 1.0, 1.0, 1.0]","[0.125, 0.4842105263157895, 0.776595744680851, 0.946236559139785, 1.0]",3.5,5,3.3814723320158104,9,0.0882564311226209,0.009659827272393895,0.25
