result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_type_token_ratio,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_avg_constituency_tree_depth,metric_max_constituency_tree_depth,metric_readability_flesch_ease,metric_readability_flesch_kincaid,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio,metric_inv_homogen,metric_novelty,metric_theme_uniqueness,metric_interestingness
5e6cbf1a886b,"['gpt-4', 'stamp-letter-send']","['model', 'id']",889,151,98,66,5,0.6490066225165563,4.754966887417218,177.0,30.2,25.6,0,0,0,1,9,0,10,0.21317718106827813,0.013039627969959694,"[0.008763207088817254, 0.005966683770671055, 0.009708399248845673, 0.0016409658315854059]","[0.6490066225165563, 0.9733333333333334, 1.0, 1.0, 1.0]","[0.08609271523178808, 0.32666666666666666, 0.6375838926174496, 0.8918918918918919, 0.9795918367346939]",4.4,8,3.610112848047972,10,10.0,16,70.4894104046243,12.023075144508674,0.2641242937853107,0.12872881355932203,0.07522598870056497,0.02005649717514124,0.08189265536723164,0.1455084745762712,0.16062146892655368,0.11072694736978282,0.006177239199801954,0.3333333333333333,0.0026651660601297866
bf6db7e58a4a,"['gpt-4', 'stamp-letter-send']","['model', 'id']",862,149,102,71,5,0.6845637583892618,4.671140939597316,171.8,29.8,25.8,0,0,0,5,0,0,5,0.2148918219015632,0.004206029035095898,"[0.002553784148596999, 0.0014425924623491237, 0.0009074208723234278, 0.003508260586922246]","[0.6845637583892618, 0.9594594594594594, 1.0, 1.0, 1.0]","[0.087248322147651, 0.31756756756756754, 0.5374149659863946, 0.7328767123287672, 0.8551724137931035]",3.4,5,3.416316464237517,9,11.6,14,68.4049230769231,12.115076923076924,0.2583575712143928,0.13442316341829086,0.11701536731634182,0.015592203898050975,0.06043440779610195,0.18376536731634183,0.15087406296851574,0.0945512522821841,0.002747957533231815,0.25,0.010041777292887355
4f4a6498c416,"['gpt-4', 'stamp-letter-send']","['model', 'id']",751,127,92,60,5,0.7244094488188977,4.811023622047244,149.4,25.4,22.0,0,0,0,5,0,0,5,0.21339188598643588,0.006521408466631143,"[0.002200859905493374, 0.002875255074417382, 0.001017446812006606, 0.006949255141344923]","[0.7244094488188977, 0.9841269841269841, 1.0, 1.0, 1.0]","[0.10236220472440945, 0.38095238095238093, 0.712, 0.9112903225806451, 0.991869918699187]",3.4,5,3.350255228181058,11,10.0,12,73.028,10.228111111111115,0.30098343685300205,0.11573498964803312,0.05809523809523809,0.005714285714285714,0.06097308488612836,0.1446583850931677,0.1643064182194617,0.09995094589565111,0.005747829363486445,0.25,0.010276897748311364
6c96ddfbafd7,"['gpt-4', 'stamp-letter-send']","['model', 'id']",814,139,89,66,5,0.6402877697841727,4.726618705035971,162.0,27.8,24.0,0,0,0,8,0,0,8,0.2113366073939628,0.007176785449405296,"[0.00036545823781919395, 0.0013383667056377224, 0.0090416466196378, 0.0036080993357158753]","[0.6402877697841727, 0.9565217391304348, 0.9854014598540146, 0.9926470588235294, 1.0]","[0.09352517985611511, 0.35507246376811596, 0.6423357664233577, 0.8235294117647058, 0.9111111111111111]",3.8,6,3.5877612368929883,11,11.0,14,70.88505063291142,11.222607594936715,0.22506410256410256,0.1393653846153846,0.10090384615384616,0.035993589743589745,0.06471153846153846,0.1664294871794872,0.13812820512820512,0.10889358365017435,0.00985838654843263,0.5,0.012594755490620946
08c24c3cd13b,"['gpt-4', 'stamp-letter-send']","['model', 'id']",857,146,98,68,5,0.6712328767123288,4.760273972602739,170.6,29.2,26.0,0,0,0,7,0,0,7,0.21509433302887707,0.009591648610186868,"[0.0045723962061332835, 0.0026001969973246386, 0.009075519773695195, 0.0029351842432206177]","[0.6712328767123288, 0.9655172413793104, 1.0, 1.0, 1.0]","[0.08904109589041095, 0.33793103448275863, 0.6319444444444444, 0.8251748251748252, 0.9366197183098591]",4.4,9,3.738320241139934,11,11.0,20,75.79603614457831,10.935108433734943,0.29354463016046045,0.13033468134451218,0.05157746466236918,0.01699346405228758,0.054189208284549234,0.13320111160455947,0.14366989875337002,0.1171047946681147,0.0023429352786040747,0.25,0.013435061772664347
a131b17d303f,"['gpt-4', 'stamp-letter-send']","['model', 'id']",808,135,100,70,5,0.7407407407407407,4.859259259259259,160.8,27.0,23.6,0,0,0,3,2,0,5,0.21423566440124195,0.009188609878765852,"[0.0020221957194259954, 0.004523662360485264, 0.004635561735202104, 0.0071957999424183405]","[0.7407407407407407, 0.9850746268656716, 1.0, 1.0, 1.0]","[0.08888888888888889, 0.39552238805970147, 0.7443609022556391, 0.9090909090909091, 0.9847328244274809]",3.6,6,3.17474725005362,8,11.2,14,73.21315384615386,10.798512820512823,0.22764853617848171,0.1733835634017122,0.10273821090518005,0.019617224880382776,0.04276399811790011,0.16200052552139665,0.09196380013076927,0.09315458847128827,0.0040602725338743095,0.3333333333333333,0.011085466543833411
f9bea88e9e37,"['gpt-4', 'stamp-letter-send']","['model', 'id']",847,142,101,63,5,0.7112676056338029,4.816901408450704,168.6,28.4,25.0,0,0,0,2,5,0,7,0.21113168793461962,0.007467386280985255,"[0.006590913958621741, 0.0027691120902697264, 0.0024735859796112813, 0.0031011605334677617]","[0.7112676056338029, 0.9858156028368794, 1.0, 1.0, 1.0]","[0.07746478873239436, 0.3262411347517731, 0.6285714285714286, 0.8201438848920863, 0.9637681159420289]",2.8,6,3.376729274865921,10,12.4,18,74.2671204819277,11.148361445783134,0.2918341307814992,0.13373661426293004,0.08375484164957848,0.016666666666666666,0.05658692185007975,0.17495557074504442,0.13458418774208247,0.10150308453518411,0.010268225467118974,0.5,0.011981662114461278
f693e0c3bf14,"['gpt-4', 'stamp-letter-send']","['model', 'id']",880,147,98,67,5,0.6666666666666666,4.863945578231292,175.2,29.4,24.6,0,0,0,1,8,0,9,0.21109216189503077,0.011206880558943033,"[0.004807939453131155, 0.0057190150895834735, 0.005240264316618226, 0.006646542258553212]","[0.6666666666666666, 0.958904109589041, 1.0, 1.0, 1.0]","[0.08163265306122448, 0.3150684931506849, 0.6, 0.8402777777777778, 0.9440559440559441]",2.8,4,4.249913667504363,15,11.6,16,67.40373964497044,12.254721893491123,0.2685733603786342,0.1183367139959432,0.08199459093982421,0.022549019607843137,0.07680189317106152,0.18232589587559161,0.1447768762677485,0.10538080205088077,0.010347277546296663,0.3333333333333333,0.03341510693232219
89cf564981c3,"['gpt-4', 'stamp-letter-send']","['model', 'id']",950,175,111,69,5,0.6342857142857142,4.3028571428571425,189.2,35.0,28.4,0,0,0,5,3,0,8,0.21318839369730774,0.013922421512295224,"[0.005022082158497421, 0.006026402541569331, 0.0035715425771380427, 0.013224815747385654]","[0.6342857142857142, 0.9482758620689655, 0.9942196531791907, 1.0, 1.0]","[0.07428571428571429, 0.3218390804597701, 0.5838150289017341, 0.7906976744186046, 0.9064327485380117]",4.4,7,3.8830407891948133,13,13.0,18,70.06782089552242,13.473074626865671,0.24247311827956988,0.11577734659228717,0.05870725200097016,0.02286361063950198,0.08531772980839195,0.18157288382245937,0.14047416929420325,0.10595020781392636,0.0061548139417427206,0.5,0.019565959771474184
31d9dcd571c0,"['gpt-4', 'stamp-letter-send']","['model', 'id']",814,139,93,59,5,0.6690647482014388,4.726618705035971,162.0,27.8,23.6,0,0,0,5,3,0,8,0.2101817274915761,0.020989974402325418,"[0.005496212366348507, 0.005689387090785397, 0.01641657584474915, 0.014377773502767782]","[0.6690647482014388, 0.9710144927536232, 1.0, 1.0, 1.0]","[0.08633093525179857, 0.37681159420289856, 0.7372262773722628, 0.9338235294117647, 0.9925925925925926]",2.8,5,3.331470588235294,11,11.0,16,70.10976397515529,11.479801242236029,0.26180463680463684,0.12312763812763813,0.10032539532539532,0.045116550116550115,0.06700623700623701,0.15134851634851634,0.11197127197127196,0.1131521955780361,0.01216814635320601,0.5,0.03404883146286014
f0c056fe9868,"['gpt-4', 'stamp-letter-send']","['model', 'id']",772,133,90,64,5,0.6766917293233082,4.684210526315789,153.6,26.6,23.0,0,0,0,9,0,0,9,0.21430070163120354,0.009281462013145864,"[0.003111802615870962, 0.0011169139309679943, 0.003543368794701296, 0.010790838684751475]","[0.6766917293233082, 0.9696969696969697, 1.0, 1.0, 1.0]","[0.06766917293233082, 0.25, 0.5114503816793893, 0.7307692307692307, 0.8682170542635659]",3.6,7,3.7157696229954293,11,11.8,16,71.27011764705884,10.920470588235297,0.25370574755357367,0.1455207172054998,0.10847534993187168,0.022507122507122508,0.10161330979809241,0.1706465688096123,0.1504542611173046,0.11319837881171185,0.003930198073951119,0.25,0.008181377251942956
10cec1f33f28,"['gpt-4', 'stamp-letter-send']","['model', 'id']",835,140,99,68,5,0.7071428571428572,4.828571428571428,166.2,28.0,25.2,0,0,0,7,3,0,10,0.21552043687470446,0.010628324434648923,"[0.004338191632918487, 0.004464162301783453, 0.00697542996087791, 0.005478864973717995]","[0.7071428571428572, 0.9856115107913669, 1.0, 1.0, 1.0]","[0.08571428571428572, 0.34532374100719426, 0.6159420289855072, 0.7737226277372263, 0.875]",2.8,6,3.6445778404601934,11,11.6,18,68.60500000000002,11.64,0.2563214896048479,0.12598386121624502,0.12231052306014825,0.021485411140583555,0.08280545042164232,0.1528263840107918,0.13643842414457108,0.09497207144032353,0.001490727586949292,0.25,0.002857510248819972
646e71fb5f6c,"['gpt-4', 'stamp-letter-send']","['model', 'id']",844,144,104,65,5,0.7222222222222222,4.75,168.0,28.8,25.2,0,0,0,3,4,0,7,0.21625313498079776,0.010328557767449717,"[0.0028065687495898717, 0.004615192514619032, 0.0008266512191656972, 0.012408703051524833]","[0.7222222222222222, 0.972027972027972, 0.9929577464788732, 1.0, 1.0]","[0.08333333333333333, 0.3356643356643357, 0.6408450704225352, 0.8226950354609929, 0.9357142857142857]",3.8,7,3.0825880451341483,9,11.2,13,74.61348466257671,10.950993865030675,0.2723575136394936,0.11857122993802638,0.08978858784893268,0.01935483870967742,0.07014871020710843,0.13767016261454526,0.12640235181948195,0.11134912915851759,2.5331374762682657e-05,0.14285714285714285,0.04054886500040694
db6e95a0588a,"['gpt-4', 'stamp-letter-send']","['model', 'id']",835,156,99,64,5,0.6346153846153846,4.256410256410256,166.2,31.2,25.6,0,0,0,12,1,0,13,0.21336048448251355,0.01526499355262291,"[0.0036301822249406313, 0.014203898420854788, 0.0034424315541337625, 0.009253474905316639]","[0.6346153846153846, 0.9548387096774194, 1.0, 1.0, 1.0]","[0.07692307692307693, 0.2903225806451613, 0.5714285714285714, 0.7777777777777778, 0.9144736842105263]",3.4,6,3.870425661763623,13,13.4,19,75.73024137931036,11.34177011494253,0.27578434762265996,0.12810543861369278,0.05518910522703464,0.01697792869269949,0.10503712954314406,0.16329843139076242,0.14141324484856616,0.08861487844715947,0.005810632371331115,0.14285714285714285,0.011807473500569654
6859b5d436de,"['gpt-4', 'gloom-payment-exist']","['model', 'id']",835,145,97,59,5,0.6689655172413793,4.655172413793103,166.2,29.0,26.0,0,0,0,8,1,0,9,0.21432490560619682,0.007554102347883979,"[0.004964049700852291, 0.0037275652090708322, 0.0020022552746992717, 0.004414334511145562]","[0.6689655172413793, 0.9861111111111112, 1.0, 1.0, 1.0]","[0.07586206896551724, 0.2708333333333333, 0.6153846153846154, 0.823943661971831, 0.9432624113475178]",5.0,7,3.5172703839370505,11,12.4,18,68.98233333333336,11.686740740740742,0.27786219189870304,0.14058270330075603,0.05808715962874178,0.0,0.0893920953961522,0.16025815969020837,0.1273329645337759,0.08764310764229816,0.00230838344182277,0.16666666666666666,0.01559867858886721
50e84dba71ea,"['gpt-4', 'gloom-payment-exist']","['model', 'id']",1039,180,118,75,5,0.6555555555555556,4.661111111111111,207.0,36.0,29.8,0,0,0,9,0,0,9,0.21418131123791945,0.00760573992901796,"[0.0040598641985502, 0.001250829413915272, 0.003782313799156861, 0.0061184724464135865]","[0.6555555555555556, 0.9720670391061452, 1.0, 1.0, 1.0]","[0.06111111111111111, 0.2737430167597765, 0.5280898876404494, 0.768361581920904, 0.9034090909090909]",4.8,8,3.9042523740852095,11,11.8,15,59.031970297029716,15.062039603960397,0.2732260628972738,0.1213938734347716,0.06321504077318031,0.005,0.06523576930954637,0.17291490920199823,0.16389415983642128,0.08795401842697807,0.0025955721783775254,0.125,0.009025160471598292
28459521febf,"['gpt-4', 'gloom-payment-exist']","['model', 'id']",860,143,104,72,5,0.7272727272727273,4.846153846153846,171.2,28.6,25.4,0,0,0,7,1,0,8,0.21436248239310507,0.005541041678998063,"[0.007616324766968413, 0.0004543925756388678, 0.0023573534829275933, 0.0006540125324612511]","[0.7272727272727273, 0.9859154929577465, 1.0, 1.0, 1.0]","[0.08391608391608392, 0.3732394366197183, 0.6737588652482269, 0.8928571428571429, 0.9856115107913669]",4.0,7,3.4195421249018065,8,9.8,11,64.83323529411767,12.662941176470586,0.22727554703361155,0.13648770584254455,0.13569394315362057,0.059494134897360704,0.0676333746898263,0.14578022783667946,0.1220744980825626,0.11186501513356747,0.002233229868006281,0.16666666666666666,0.006640195846557617
8601c1c66d35,"['gpt-4', 'gloom-payment-exist']","['model', 'id']",832,139,97,71,5,0.697841726618705,4.848920863309353,165.6,27.8,24.0,0,0,0,8,0,0,8,0.2155481503283234,0.011148392409845151,"[0.010392302132788162, 0.00640988800770198, 0.002021366274440217, 0.0034732284047599427]","[0.697841726618705, 0.9710144927536232, 1.0, 1.0, 1.0]","[0.09352517985611511, 0.34782608695652173, 0.6715328467153284, 0.8382352941176471, 0.9555555555555556]",3.4,5,3.827087360726705,10,10.0,12,65.4825283018868,12.025836477987422,0.2604428164428164,0.16457631257631258,0.060198616198616196,0.013406593406593406,0.062442002442002445,0.16712413512413513,0.15714611314611315,0.1020468603009763,0.00013810600243036042,0.16666666666666666,0.018972770373026526
50f929c49d66,"['gpt-4', 'gloom-payment-exist']","['model', 'id']",990,167,116,84,5,0.6946107784431138,4.802395209580839,197.4,33.4,27.6,0,0,0,3,0,0,3,0.21415345226288937,0.013362730626847827,"[0.0020768671017400986, 0.003915073005223063, 0.008247440321403648, 0.012486080825328844]","[0.6946107784431138, 0.9759036144578314, 1.0, 1.0, 1.0]","[0.07784431137724551, 0.25301204819277107, 0.49696969696969695, 0.7195121951219512, 0.8650306748466258]",4.2,6,4.12981049736968,12,14.0,18,61.227750000000015,14.258916666666668,0.3250412884606433,0.14214122794767955,0.04759875250197831,0.0331471395987525,0.028890285341898244,0.17421477447283898,0.1831859609924126,0.09482072747271994,0.0026512901284376778,0.16666666666666666,0.015548316637674975
9f48f6fed678,"['gpt-4', 'gloom-payment-exist']","['model', 'id']",891,154,101,72,5,0.6558441558441559,4.701298701298701,177.4,30.8,25.6,0,0,0,3,0,0,3,0.21560362564379434,0.013419916274166901,"[0.011129766744391922, 0.009667005316883887, 0.004878468039322986, 0.0011645924477350078]","[0.6558441558441559, 0.9411764705882353, 0.993421052631579, 1.0, 1.0]","[0.07792207792207792, 0.3202614379084967, 0.5986842105263158, 0.7814569536423841, 0.9066666666666666]",5.0,11,3.8574504617722702,11,11.0,13,63.64316763005782,12.977988439306362,0.28534798534798533,0.11231643356643356,0.09734099234099235,0.02661005661005661,0.018917748917748917,0.18374292374292375,0.14320429570429571,0.10305497957312543,0.0002490566333722688,0.16666666666666666,0.0007323503494262584
cb1cddaa6a22,"['gpt-4', 'gloom-payment-exist']","['model', 'id']",744,123,91,64,5,0.7398373983739838,4.91869918699187,148.0,24.6,22.4,0,0,0,6,0,0,6,0.21157788579899167,0.007900103470146205,"[0.004037182846348797, 0.001979574595853739, 0.0014264203491426986, 0.008357029148947176]","[0.7398373983739838, 0.9836065573770492, 1.0, 1.0, 1.0]","[0.0975609756097561, 0.3360655737704918, 0.6363636363636364, 0.8583333333333333, 0.9663865546218487]",3.0,4,3.3476489024759704,8,8.8,10,71.96111267605635,10.277549295774651,0.2786473429951691,0.1567296986427421,0.10488336783988958,0.01610305958132045,0.06444168391994479,0.1567296986427421,0.15332505175983435,0.09332372572111047,0.0078024230562330765,0.125,0.005813717842102051
88a660249df5,"['gpt-4', 'gloom-payment-exist']","['model', 'id']",712,125,91,52,5,0.728,4.584,141.6,25.0,23.0,0,0,0,8,1,0,9,0.2162681110484208,0.018039707220219955,"[0.00063763516289847, 0.011235485138831214, 0.017860962044109002, 0.006345332094601225]","[0.728, 0.9919354838709677, 1.0, 1.0, 1.0]","[0.104, 0.4274193548387097, 0.7479674796747967, 0.8934426229508197, 0.9669421487603306]",3.2,5,3.459502518600425,12,11.0,15,71.96111267605635,10.277549295774651,0.2308874458874459,0.11175324675324676,0.09199134199134198,0.04701298701298701,0.10186147186147186,0.13948051948051948,0.15766233766233767,0.11997804952704388,0.0015780274426251961,0.16666666666666666,0.006297206878662087
4f45ca91350a,"['gpt-4', 'gloom-payment-exist']","['model', 'id']",754,132,96,55,5,0.7272727272727273,4.590909090909091,150.0,26.4,23.4,0,0,0,6,0,0,6,0.2149657240620366,0.013980039855936058,"[0.0025767585733434684, 0.01008447988347691, 0.0034468435815402376, 0.0118519976735115]","[0.7272727272727273, 0.9847328244274809, 1.0, 1.0, 1.0]","[0.09090909090909091, 0.40458015267175573, 0.6923076923076923, 0.8837209302325582, 0.96875]",3.2,5,3.4202645300568464,10,9.6,12,73.94312987012988,10.597324675324675,0.2966813186813187,0.09109890109890109,0.09793406593406594,0.02142857142857143,0.0670989010989011,0.1439120879120879,0.16815384615384615,0.08866740827975066,0.00102674653014323,0.125,0.020847121874491392
00c6549a4cbf,"['gpt-4', 'gloom-payment-exist']","['model', 'id']",951,161,111,75,5,0.6894409937888198,4.813664596273292,189.4,32.2,27.8,0,0,0,3,3,0,6,0.21453529403016375,0.007903772892751099,"[0.003940316679931832, 0.0021298018376729733, 0.003872472050487047, 0.005864955217410345]","[0.6894409937888198, 0.975, 1.0, 1.0, 1.0]","[0.07453416149068323, 0.3375, 0.6163522012578616, 0.8291139240506329, 0.9617834394904459]",3.8,5,4.056698324518356,13,14.8,20,59.9035865921788,13.797698324022345,0.2708169934640523,0.13478213507625272,0.09005446623093682,0.03477124183006536,0.06328976034858388,0.17399782135076253,0.13482570806100216,0.12088005179944246,0.0018876065938889242,0.5,0.0013737440109252708
